rider,course,distance_m,power_w
male_tt,Tokyo,11251,447
male_tt,Tokyo,11311,446
male_tt,Tokyo,11381,446
male_tt,Tokyo,11460,445
male_tt,Tokyo,11546,444
male_tt,Tokyo,11636,443
male_tt,Tokyo,11729,443
male_tt,Tokyo,11823,442
male_tt,Tokyo,11919,441
male_tt,Tokyo,12015,441
male_tt,Tokyo,12112,440
male_tt,Tokyo,12208,440
male_tt,Tokyo,12306,439
male_tt,Tokyo,12403,438
male_tt,Tokyo,12500,438
male_tt,Tokyo,12598,437
male_tt,Tokyo,12696,437
male_tt,Tokyo,12794,436
male_tt,Tokyo,12892,436
male_tt,Tokyo,12991,435
male_tt,Tokyo,13089,435
male_tt,Tokyo,13187,434
male_tt,Tokyo,13286,434
male_tt,Tokyo,13384,434
male_tt,Tokyo,13483,433
male_tt,Tokyo,13581,433
male_tt,Tokyo,13679,432
male_tt,Tokyo,13778,432
male_tt,Tokyo,13876,432
male_tt,Tokyo,13974,431
male_tt,Tokyo,14073,431
male_tt,Tokyo,14171,430
male_tt,Tokyo,14269,430
male_tt,Tokyo,14367,430
male_tt,Tokyo,14466,429
male_tt,Tokyo,14563,429
male_tt,Tokyo,14658,429
male_tt,Tokyo,14751,429
male_tt,Tokyo,14842,428
male_tt,Tokyo,14933,428
male_tt,Tokyo,15023,428
male_tt,Tokyo,15112,427
male_tt,Tokyo,15202,427
male_tt,Tokyo,15291,427
male_tt,Tokyo,15380,427
male_tt,Tokyo,15468,426
male_tt,Tokyo,15554,426
male_tt,Tokyo,15638,426
male_tt,Tokyo,15721,426
male_tt,Tokyo,15803,425
male_tt,Tokyo,15884,425
male_tt,Tokyo,15962,425
male_tt,Tokyo,16037,425
male_tt,Tokyo,16110,424
male_tt,Tokyo,16181,424
male_tt,Tokyo,16251,424
male_tt,Tokyo,16320,424
male_tt,Tokyo,16388,423
male_tt,Tokyo,16456,423
male_tt,Tokyo,16524,423
male_tt,Tokyo,16591,423
male_tt,Tokyo,16651,423
male_tt,Tokyo,16705,423
male_tt,Tokyo,16756,422
male_tt,Tokyo,16804,422
male_tt,Tokyo,16851,422
male_tt,Tokyo,16897,422
male_tt,Tokyo,16942,422
male_tt,Tokyo,16987,421
male_tt,Tokyo,17031,421
male_tt,Tokyo,17068,421
male_tt,Tokyo,17099,421
male_tt,Tokyo,17128,421
male_tt,Tokyo,17156,421
male_tt,Tokyo,17183,420
male_tt,Tokyo,17211,420
male_tt,Tokyo,17238,420
male_tt,Tokyo,17265,420
male_tt,Tokyo,17292,420
male_tt,Tokyo,17319,420
male_tt,Tokyo,17347,420
male_tt,Tokyo,17375,419
male_tt,Tokyo,17406,419
male_tt,Tokyo,17440,419
male_tt,Tokyo,17475,419
male_tt,Tokyo,17511,419
male_tt,Tokyo,17546,419
male_tt,Tokyo,17582,419
male_tt,Tokyo,17618,418
male_tt,Tokyo,17653,418
male_tt,Tokyo,17689,418
male_tt,Tokyo,17725,418
male_tt,Tokyo,17761,418
male_tt,Tokyo,17796,418
male_tt,Tokyo,17833,388
male_tt,Tokyo,17878,388
male_tt,Tokyo,17927,388
male_tt,Tokyo,17980,388
male_tt,Tokyo,18035,388
male_tt,Tokyo,18092,388
male_tt,Tokyo,18149,388
male_tt,Tokyo,18208,388
male_tt,Tokyo,18267,388
male_tt,Tokyo,18326,388
male_tt,Tokyo,18385,388
male_tt,Tokyo,18444,388
male_tt,Tokyo,18504,388
male_tt,Tokyo,18564,388
male_tt,Tokyo,18623,388
